,Description,Vente,Loc,Date_str,Date_iso,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error
20,"William De Morgan, 1898",Ceramic Design 1860-1945,London,01 March 2005,2005-03-01,34,['https://images1.bonhams.com/image?src=Images/live/2004-12/17/4152668-6-1.jpg'],DeMorgan,https://www.bonhams.com/auction/11920/lot/34/william-de-morgan-1898-cavendish-a-tile/,Bonhams,Bonhams_2005-03-01_34,['Bonhams_2005-03-01_34_01.jpg'],
21,"William de Morgan (British, 1839-1917)",A Modern Antiquarian: The Collection of Graham Slater Part II,London,16 April 2025,2025-04-16,614,"['https://images1.bonhams.com/image?src=Images/live/2025-02/25/25620113-42-4.jpg', 'https://images1.bonhams.com/image?src=Images/live/2025-02/25/25620113-42-5.jpg']",DeMorgan,https://www.bonhams.com/auction/31403/lot/614/william-de-morgan-british-1839-1917-three-tiles-persian-kl-rose-and-carnation-circa-1898-1907/,Bonhams,Bonhams_2025-04-16_614,"['Bonhams_2025-04-16_614_01.jpg', 'Bonhams_2025-04-16_614_02.jpg']",
22,WILLIAM DE MORGAN (1839-1917),Modern Decorative Art + Design: Including The Helen and David Milling Collection,New York,13 December 2023,2023-12-13,11,"['https://images2.bonhams.com/image?src=Images/live/2023-11/08/25407497-28-1.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/08/25407497-28-4.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/08/25407497-28-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/08/25407497-28-2.jpg']",DeMorgan,https://www.bonhams.com/auction/28465/lot/11/william-de-morgan-1839-1917-twenty-tile-new-persian-panelcirca-1888-1907colorfully-painted-in-hues-of-green-blue-and-black-in-islamic-style-glazed-earthenware-impressed-w-de-morgan-and-co-sands-end-pottery-mark-on-reverse33-x-26-in-838-x-66cm/,Bonhams,Bonhams_2023-12-13_11,"['Bonhams_2023-12-13_11_01.jpg', 'Bonhams_2023-12-13_11_02.jpg', 'Bonhams_2023-12-13_11_03.jpg', 'Bonhams_2023-12-13_11_04.jpg']",
23,William De Morgan,Ceramic Design from 1860,London,16 March 2011,2011-03-16,31,['https://images1.bonhams.com/image?src=Images/live/2011-01/31/8243454-10-2.jpg'],DeMorgan,https://www.bonhams.com/auction/18778/lot/31/william-de-morgan-a-rare-framed-large-double-carnation-tile-with-border-tiles-circa-1890/,Bonhams,Bonhams_2011-03-16_31,['Bonhams_2011-03-16_31_01.jpg'],
24,William De Morgan,Decorative Arts from 1860,Knightsbridge,01 October 2014,2014-10-01,33,['https://images1.bonhams.com/image?src=Images/live/2014-08/19/94579157-6-1.jpg'],DeMorgan,https://www.bonhams.com/auction/21668/lot/33/william-de-morgan-three-persian-influence-nine-inch-floral-tiles-circa-1890/,Bonhams,Bonhams_2014-10-01_33,['Bonhams_2014-10-01_33_01.jpg'],
25,A Cantagalli Isnik-style vase,"British and European Ceramics, Glass & Asian Art",Vicars Lane,20 March 2012,2012-03-20,186,['https://images1.bonhams.com/image?src=Images/live/2011-07/27/8264543-157-1.jpg'],Cantagalli,https://www.bonhams.com/auction/19884/lot/186/a-cantagalli-isnik-style-vase-circa-1900/,Bonhams,Bonhams_2012-03-20_186,['Bonhams_2012-03-20_186_01.jpg'],
26,A Cantagalli Isnik-Style pottery teapot and Cover,"British and European Ceramics, Glass & Asian Art",Vicars Lane,20 March 2012,2012-03-20,185,['https://images1.bonhams.com/image?src=Images/live/2011-07/29/8264543-129-1.jpg'],Cantagalli,https://www.bonhams.com/auction/19884/lot/185/a-cantagalli-isnik-style-pottery-teapot-and-cover-circa-1900/,Bonhams,Bonhams_2012-03-20_185,['Bonhams_2012-03-20_185_01.jpg'],
27,"A Cantagalli Iznik style pottery Dish, Italy, 19th Century",Islamic and Indian Art,London,06 October 2015,2015-10-06,70,['https://images1.bonhams.com/image?src=Images/live/2015-07/23/94422931-13-1.jpg'],Cantagalli,https://www.bonhams.com/auction/22816/lot/70/a-cantagalli-iznik-style-pottery-dish-italy-19th-century/,Bonhams,Bonhams_2015-10-06_70,['Bonhams_2015-10-06_70_01.jpg'],
28,A pair of Cantagalli Iznik-style tin glazed pottery vases,HOME & Interiors,Edinburgh,10 April 2019,2019-04-10,101,['https://images1.bonhams.com/image?src=Images/live/2018-08/17/94629023-12-1.jpg'],Cantagalli,https://www.bonhams.com/auction/25361/lot/101/a-pair-of-cantagalli-iznik-style-tin-glazed-pottery-vases-late-19thearly-20th-century/,Bonhams,Bonhams_2019-04-10_101,['Bonhams_2019-04-10_101_01.jpg'],
29,"A Cantagalli Iznik 'Damascus' style pottery dish, Italy, 19th Century","Islamic and Indian Art Including The Lion and the Sun, Art from Qajar Persia",London,30 April 2019,2019-04-30,39,"['https://images1.bonhams.com/image?src=Images/live/2019-02/11/94633208-1-1.jpg', 'https://images1.bonhams.com/image?src=Images/live/2019-02/11/94633208-1-2.jpg']",Cantagalli,https://www.bonhams.com/auction/25434/lot/39/a-cantagalli-iznik-damascus-style-pottery-dish-italy-19th-century/,Bonhams,Bonhams_2019-04-30_39,"['Bonhams_2019-04-30_39_01.jpg', 'Bonhams_2019-04-30_39_02.jpg']",
