,Description,Vente,Loc,Date_iso,Date_str,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error,url
71,"ANDRÉ METTHEY (1871-1920); ASSIETTE CENTREE D'UNE ROSACE, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,346,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0346_000(andre_metthey_assiette_centree_dune_rosace_vers_1910-1920121737).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957712,Christies,Christies_2015-11-23_346,['Christies_2015-11-23_346_01.jpg'],,
72,"ANDRÉ METTHEY (1871-1920); VASE BALUSTRE AUX FLEURS, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,374,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0374_000(andre_metthey_vase_balustre_aux_fleurs_vers_1910-1920122443).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957740,Christies,Christies_2015-11-23_374,['Christies_2015-11-23_374_01.jpg'],,
73,"A PAIR OF LARGE EARTHENWARE COVERED VASES; ANDRÉ METTHEY, CIRCA 1910",Important 20th Century Decorative Arts and Tiffany:         ,New York,2002-12-10,10 December 2002,31,['https://www.christies.com/img/LotImages/2002/NYR/2002_NYR_01162_0031_000(052657).jpg'],Metthey,https://www.christies.com/en/lot/lot-4028046,Christies,Christies_2002-12-10_31,['Christies_2002-12-10_31_01.jpg'],,
74,"LAMPE DE TABLE; ANDRÉ METTHEY, VERS 1920",COLLECTION JACQUES ET HENRIETTE SCHUMANN                    ,Paris,2003-09-30,30 September 2003,24,['https://www.christies.com/img/LotImages/2003/PAR/2003_PAR_05062_0024_000(063005).jpg'],Metthey,https://www.christies.com/en/lot/lot-4160220,Christies,Christies_2003-09-30_24,['Christies_2003-09-30_24_01.jpg'],,
75,"AN ALHAMBRA-STYLE JARDINIERE; CLEMENT MASSIER, FRANCE, CIRCA 1900",Art and Textiles of the Islamic and Indian Worlds including Works from The Collection of the Late Simon Digby,London (South Kensington),2011-04-08,08 April 2011,559,['https://www.christies.com/img/LotImages/2011/CSK/2011_CSK_05744_0559_000(an_alhambra-style_jardiniere_clement_massier_france_circa_1900120653).jpg'],Massier,https://www.christies.com/en/lot/lot-5422787,Christies,Christies_2011-04-08_559,['Christies_2011-04-08_559_01.jpg'],,
76,"A PAIR OF CLEMENT MASSIER ENAMELED TERRACOTTA VASES; CIRCA 1890-95, BLACK PAINTED CLEMENT MASSIER GOLFE-JUAN A.M. MARKS","The Collector: English & European 18th & 19th Century Furniture, Ceramics, Silver & Works of Art",New York,2019-10-15,15 October 2019,71,['https://www.christies.com/img/LotImages/2019/NYR/2019_NYR_17468_0071_000(a_pair_of_clement_massier_enameled_terracotta_vases_circa_1890-95_blac123755).jpg'],Massier,https://www.christies.com/en/lot/lot-6228027,Christies,Christies_2019-10-15_71,['Christies_2019-10-15_71_01.jpg'],,
77,CLEMENT MASSIER; AN 'ISNIK' STYLE CERAMIC JARDINIERE AND STAND,Art Nouveau and Art Deco,London (South Kensington),2006-04-11,11 April 2006,2,['https://www.christies.com/img/LotImages/2006/CSK/2006_CSK_04922_0002_000(115539).jpg'],Massier,https://www.christies.com/en/lot/lot-4694767,Christies,Christies_2006-04-11_2,['Christies_2006-04-11_2_01.jpg'],,
78,"A LARGE NASRID-STYLE TURQUOISE-BLUE GLAZE VASE ON STAND; POSSIBLY CLEMENT MASSIER, FRANCE, LATE 19TH/EARLY 20TH CNETURY",Christie's Interiors,London (South Kensington),2012-10-02,02 October 2012,30,['https://www.christies.com/img/LotImages/2012/CSK/2012_CSK_06853_0030_000(a_large_nasrid-style_turquoise-blue_glaze_vase_on_stand_possibly_cleme123419).jpg'],Massier,https://www.christies.com/en/lot/lot-5602628,Christies,Christies_2012-10-02_30,['Christies_2012-10-02_30_01.jpg'],,
79,"A CORNICE MOULDED POTTERY TILE; POSSIBLY CLEMENT MASSIER, FRANCE, LATE 19TH/EARLY 20TH CENTURY",Christie's Interiors,London (South Kensington),2012-10-02,02 October 2012,60,['https://www.christies.com/img/LotImages/2012/CSK/2012_CSK_06853_0060_000(a_cornice_moulded_pottery_tile_possibly_clement_massier_france_late_19025353).jpg'],Massier,https://www.christies.com/en/lot/lot-5602658,Christies,Christies_2012-10-02_60,['Christies_2012-10-02_60_01.jpg'],,
80,,,,,,,,,,,,,Invalid URL 'sadruddin-aga-khan-une-passion/vase-ceramique-bleu-et-blanc-258/100666': No scheme supplied. Perhaps you meant https://sadruddin-aga-khan-une-passion/vase-ceramique-bleu-et-blanc-258/100666?,sadruddin-aga-khan-une-passion/vase-ceramique-bleu-et-blanc-258/100666
