titre	auteur	date	technique	lien	system_id	localisation	num_inventaire	image_url
Plat à la rosette verte			glaze,painted,siliceous ceramics,gold highlights,colour highlights, glaze, painted, siliceous ceramics, gold highlights, colour highlights	https://images.grandpalaisrmn.fr/ark:/36255/04-501363	04-501363	Ecouen, musée national de la Renaissance	E.Cl.9306	https://images.grandpalaisrmn.fr/thumb.php/00485297.jpg?ID=1453003
Plat aux roses, tulipes et feuilles de saz			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-501337	04-501337	Ecouen, musée national de la Renaissance	E.Cl.8474	https://images.grandpalaisrmn.fr/thumb.php/00483736.jpg?ID=1129278
Grand plat aux cinq fleurons			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502334	04-502334	Ecouen, musée national de la Renaissance	E.Cl.8505	https://images.grandpalaisrmn.fr/thumb.php/00483724.jpg?ID=1419092
Plat au grand lambrequin fleuri			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502325	04-502325	Ecouen, musée national de la Renaissance	E.Cl.8494	https://images.grandpalaisrmn.fr/thumb.php/00482185.jpg?ID=913169
Plat aux deux oeillets			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-501328	04-501328	Ecouen, musée national de la Renaissance	E.Cl.8450	https://images.grandpalaisrmn.fr/thumb.php/00482184.jpg?ID=1464949
Plat aux quatre médaillons			gold highlights,siliceous ceramics,glaze,painted, gold highlights, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502387	04-502387	Ecouen, musée national de la Renaissance	DS2580	https://images.grandpalaisrmn.fr/thumb.php/00480667.jpg?ID=684186
Plat à la palme au galon perlé			glaze,gold highlights,siliceous ceramics,painted, glaze, gold highlights, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501390	04-501390	Ecouen, musée national de la Renaissance	E.Cl.9605	https://images.grandpalaisrmn.fr/thumb.php/00480666.jpg?ID=271057
Compotier à décor sinisant			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501929	04-501929	Ecouen, musée national de la Renaissance	E.Cl.9302	https://images.grandpalaisrmn.fr/thumb.php/00479108.jpg?ID=997958
Plat aux tulipes et aux oeillets			painted,siliceous ceramics,glaze, painted, siliceous ceramics, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-501974	04-501974	Ecouen, musée national de la Renaissance	E.Cl.8149	https://images.grandpalaisrmn.fr/thumb.php/00477568.jpg?ID=248989
Plat au bouquet léger			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502127	04-502127	Ecouen, musée national de la Renaissance	E.Cl.9610	https://images.grandpalaisrmn.fr/thumb.php/00476009.jpg?ID=257481
Plat à motif rayonnant sur fond vert			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-502108	04-502108	Ecouen, musée national de la Renaissance	E.Cl.8253	https://images.grandpalaisrmn.fr/thumb.php/00474432.jpg?ID=999291
Carreau au cartouche  bleu et aux rinceaux fleuronnés			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502180	04-502180	Ecouen, musée national de la Renaissance	E.Cl.15439d	https://images.grandpalaisrmn.fr/thumb.php/00472907.jpg?ID=1538181
Plat aux deux feuilles saz formant coeur et au bouquet symétrique			siliceous ceramics,glaze,gold highlights,painted, siliceous ceramics, glaze, gold highlights, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501183	04-501183	Ecouen, musée national de la Renaissance	E.Cl.8085	https://images.grandpalaisrmn.fr/thumb.php/00472906.jpg?ID=1331112
